,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,hilo,US,19.7297,-155.09,71.8,91,40,4.61,light rain
1,san patricio,US,28.017,-97.5169,83.07,75,30,15.52,scattered clouds
2,hermanus,ZA,-34.4187,19.2345,64.8,66,86,18.57,overcast clouds
3,mar del plata,AR,-38.0023,-57.5575,64.09,48,0,13.0,clear sky
4,ushuaia,AR,-54.8,-68.3,29.86,80,75,21.85,light snow
5,montague,US,42.5356,-72.5351,76.01,67,4,1.01,clear sky
6,coquimbo,CL,-29.9533,-71.3436,51.53,87,0,4.14,clear sky
7,butaritari,KI,3.0707,172.7902,82.94,78,89,18.54,light rain
8,dikson,RU,73.5069,80.5464,25.9,92,42,6.04,scattered clouds
9,cockburn town,TC,21.4612,-71.1419,78.73,76,0,11.3,clear sky
10,great yarmouth,GB,52.6083,1.7305,60.1,80,7,7.52,clear sky
11,mataura,NZ,-46.1927,168.8643,49.48,99,100,0.76,moderate rain
12,smolenka,RU,52.1352,113.4974,51.87,25,85,5.01,overcast clouds
13,korla,CN,41.7597,86.1469,82.53,12,36,10.76,scattered clouds
14,cape town,ZA,-33.9258,18.4232,63.09,67,20,4.0,few clouds
15,pizarro,CO,4.9533,-77.366,81.68,79,87,3.89,overcast clouds
16,lavrentiya,RU,65.5833,-171.0,30.7,78,54,8.79,broken clouds
17,mansehra,PK,34.3333,73.2,78.33,25,0,2.75,clear sky
18,punta arenas,CL,-53.15,-70.9167,33.82,80,0,12.06,clear sky
19,westport,US,41.1415,-73.3579,78.58,67,20,1.99,few clouds
20,pangnirtung,CA,66.1451,-65.7125,32.0,86,75,10.36,broken clouds
21,kodiak,US,57.79,-152.4072,38.71,81,1,5.75,clear sky
22,nome,US,64.5011,-165.4064,39.27,70,1,0.0,clear sky
23,lasa,IT,46.6166,10.7002,65.28,89,93,7.36,overcast clouds
24,bluff,NZ,-46.6,168.3333,49.8,84,100,6.4,light rain
25,ilulissat,GL,69.2167,-51.1,57.22,28,40,19.57,scattered clouds
26,nemuro,JP,43.3236,145.575,46.11,92,100,8.75,overcast clouds
27,cabinda,AO,-5.55,12.2,84.34,74,20,8.05,few clouds
28,rikitea,PF,-23.1203,-134.9692,72.23,60,98,10.6,overcast clouds
29,castro,BR,-24.7911,-50.0119,71.73,55,37,7.99,scattered clouds
30,muros,ES,42.7762,-9.0603,79.68,65,100,12.73,overcast clouds
31,la romana,DO,18.4273,-68.9728,86.36,66,40,10.36,scattered clouds
32,port alfred,ZA,-33.5906,26.891,66.33,68,100,12.55,overcast clouds
33,sturgeon falls,CA,46.3646,-79.9326,49.89,37,25,8.61,scattered clouds
34,dwarka,IN,22.2394,68.9678,84.07,85,67,16.51,broken clouds
35,sahuaripa,MX,29.05,-109.2333,83.52,14,100,2.95,overcast clouds
36,kieta,PG,-6.2167,155.6333,76.68,91,100,3.42,overcast clouds
37,atuona,PF,-9.8,-139.0333,78.4,78,47,14.5,light rain
38,matadi,CD,-5.8167,13.45,90.73,43,100,3.42,overcast clouds
39,iqaluit,CA,63.7506,-68.5145,31.73,69,90,8.99,overcast clouds
40,qaanaaq,GL,77.484,-69.3632,35.64,78,22,4.36,few clouds
41,middle island,US,40.8843,-72.9373,79.45,69,40,4.0,scattered clouds
42,yellowknife,CA,62.456,-114.3525,47.32,81,40,3.44,scattered clouds
43,malakal,SS,9.5334,31.6605,91.35,39,95,5.32,overcast clouds
44,montrose,US,38.4166,-108.2673,53.73,27,0,1.41,clear sky
45,vaini,TO,-21.2,-175.2,69.96,94,20,6.91,few clouds
46,breyten,ZA,-26.3018,29.987,60.37,19,0,5.99,clear sky
47,katsuura,JP,35.1333,140.3,63.19,91,100,11.7,overcast clouds
48,freetown,SL,8.484,-13.2299,84.63,68,63,10.83,broken clouds
49,ruhengeri,RW,-1.4998,29.635,71.4,94,72,2.91,light rain
