,Unnamed: 0,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
1,1,san patricio,US,28.017,-97.5169,83.07,75,30,15.52,scattered clouds
5,5,montague,US,42.5356,-72.5351,76.01,67,4,1.01,clear sky
7,7,butaritari,KI,3.0707,172.7902,82.94,78,89,18.54,light rain
9,9,cockburn town,TC,21.4612,-71.1419,78.73,76,0,11.3,clear sky
13,13,korla,CN,41.7597,86.1469,82.53,12,36,10.76,scattered clouds
15,15,pizarro,CO,4.9533,-77.366,81.68,79,87,3.89,overcast clouds
17,17,mansehra,PK,34.3333,73.2,78.33,25,0,2.75,clear sky
19,19,westport,US,41.1415,-73.3579,78.58,67,20,1.99,few clouds
27,27,cabinda,AO,-5.55,12.2,84.34,74,20,8.05,few clouds
30,30,muros,ES,42.7762,-9.0603,79.68,65,100,12.73,overcast clouds
31,31,la romana,DO,18.4273,-68.9728,86.36,66,40,10.36,scattered clouds
34,34,dwarka,IN,22.2394,68.9678,84.07,85,67,16.51,broken clouds
35,35,sahuaripa,MX,29.05,-109.2333,83.52,14,100,2.95,overcast clouds
36,36,kieta,PG,-6.2167,155.6333,76.68,91,100,3.42,overcast clouds
37,37,atuona,PF,-9.8,-139.0333,78.4,78,47,14.5,light rain
41,41,middle island,US,40.8843,-72.9373,79.45,69,40,4.0,scattered clouds
48,48,freetown,SL,8.484,-13.2299,84.63,68,63,10.83,broken clouds
51,51,puerto ayora,EC,-0.7393,-90.3518,76.96,94,65,4.0,broken clouds
53,53,bambous virieux,MU,-20.3428,57.7575,77.25,78,40,7.99,scattered clouds
59,59,puertollano,ES,38.6871,-4.1073,81.19,25,100,7.18,overcast clouds
67,67,victoria,HK,22.2855,114.1577,87.33,81,91,5.01,overcast clouds
69,69,rassvet,RU,46.8333,40.75,75.43,62,58,4.03,light rain
71,71,caravelas,BR,-17.7125,-39.2481,83.25,56,33,8.95,scattered clouds
76,76,nicoya,CR,10.1483,-85.452,80.15,61,78,8.9,broken clouds
77,77,arraial do cabo,BR,-22.9661,-42.0278,78.66,73,75,4.61,broken clouds
78,78,san cayetano,CO,7.8771,-72.6243,83.28,65,40,4.23,scattered clouds
81,81,nago,JP,26.5881,127.9761,82.83,90,100,5.28,heavy intensity rain
82,82,faanui,PF,-16.4833,-151.75,80.26,68,9,8.37,clear sky
83,83,matara,LK,5.9485,80.5353,79.54,88,100,16.69,overcast clouds
84,84,samarai,PG,-10.6167,150.6667,78.21,74,100,17.34,overcast clouds
91,91,mahebourg,MU,-20.4081,57.7,77.29,78,40,8.05,scattered clouds
94,94,sulangan,PH,11.1373,123.7228,84.36,75,69,6.04,broken clouds
97,97,zambezi,ZM,-13.5432,23.1047,78.42,20,0,4.88,clear sky
98,98,kavaratti,IN,10.5669,72.642,83.57,77,7,16.62,clear sky
101,101,tevaitoa,PF,-16.7833,-151.5,80.26,70,9,7.96,clear sky
102,102,bethel,US,41.3712,-73.414,76.55,69,40,1.99,scattered clouds
103,103,saint-philippe,RE,-21.3585,55.7679,76.59,81,58,6.08,broken clouds
106,106,panaba,MX,21.2833,-88.2667,86.23,56,40,8.1,scattered clouds
109,109,beyneu,KZ,45.3167,55.2,82.83,38,81,26.84,broken clouds
113,113,saint george,US,37.1041,-113.5841,78.35,23,1,0.0,clear sky
114,114,souillac,MU,-20.5167,57.5167,77.38,78,40,6.89,scattered clouds
119,119,saint-pierre,RE,-21.3393,55.4781,76.68,76,90,2.3,overcast clouds
124,124,soyo,AO,-6.1349,12.3689,84.25,72,100,11.14,overcast clouds
125,125,dok kham tai,TH,19.1624,99.9934,80.38,77,70,3.58,broken clouds
127,127,cabo san lucas,MX,22.8909,-109.9124,87.4,44,38,10.11,scattered clouds
136,136,avarua,CK,-21.2078,-159.775,80.65,89,40,10.36,light rain
137,137,bonthe,SL,7.5264,-12.505,87.13,65,34,11.81,scattered clouds
141,141,port-gentil,GA,-0.7193,8.7815,84.16,79,75,17.27,broken clouds
148,148,buala,SB,-8.145,159.5921,78.39,86,100,9.44,moderate rain
151,151,bambanglipuro,ID,-7.95,110.2833,77.67,90,22,7.09,few clouds
154,154,anzio,IT,41.4853,12.6179,79.02,50,20,9.82,few clouds
155,155,caninde,BR,-4.3589,-39.3117,89.78,42,10,11.23,clear sky
156,156,cine,TR,37.6117,28.0614,89.01,26,0,10.87,clear sky
161,161,uthal,PK,25.8072,66.6219,87.53,71,5,13.24,clear sky
169,169,aquiraz,BR,-3.9014,-38.3911,88.21,52,30,14.03,scattered clouds
176,176,bontang,ID,0.1333,117.5,82.56,79,7,5.46,clear sky
177,177,anloga,GH,5.7947,0.8973,89.82,73,100,13.65,overcast clouds
178,178,la fria,VE,8.2203,-72.2439,84.31,75,92,3.06,overcast clouds
179,179,georgetown,MY,5.4112,100.3354,82.89,84,20,5.01,light rain
180,180,nhulunbuy,AU,-12.2333,136.7667,77.61,65,75,13.8,broken clouds
181,181,yenagoa,NG,4.9247,6.2642,82.63,79,99,4.36,overcast clouds
183,183,hithadhoo,MV,-0.6,73.0833,83.93,74,76,17.43,broken clouds
184,184,mayo,US,38.8876,-76.5119,81.07,68,1,8.01,clear sky
191,191,zaraza,VE,9.3503,-65.3245,88.21,54,79,6.6,broken clouds
192,192,tiquicheo,MX,18.8833,-100.7333,87.1,44,99,1.14,overcast clouds
199,199,vanimo,PG,-2.6741,141.3028,79.21,86,100,5.06,overcast clouds
207,207,kapoeta,SS,4.7717,33.5903,89.69,34,97,13.4,overcast clouds
208,208,baft,IR,29.234,56.6057,75.18,15,0,14.58,clear sky
211,211,cayenne,GF,4.9333,-52.3333,80.1,87,75,1.01,broken clouds
