City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,rikitea,PF,-23.1203,-134.9692,71.58,63,14,6.67,few clouds
1,ushuaia,AR,-54.8,-68.3,26.29,94,99,5.82,light snow
2,khatanga,RU,71.9667,102.5,36.09,100,99,9.46,overcast clouds
3,atuona,PF,-9.8,-139.0333,79.54,74,94,12.91,overcast clouds
4,belmonte,BR,-15.8631,-38.8828,70.3,78,28,3.76,scattered clouds
5,cap malheureux,MU,-19.9842,57.6142,81.46,68,10,4.0,light rain
6,riyadh,SA,24.6877,46.7219,109.54,7,0,6.91,clear sky
7,kaz,RU,52.9113,87.3105,52.99,55,100,8.57,overcast clouds
8,hermanus,ZA,-34.4187,19.2345,68.81,73,9,21.63,clear sky
9,puerto ayora,EC,-0.7393,-90.3518,73.54,94,96,7.0,overcast clouds
10,arraial do cabo,BR,-22.9661,-42.0278,71.56,78,20,6.91,few clouds
11,kapaa,US,22.0752,-159.319,75.52,84,75,6.67,light rain
12,punta arenas,CL,-53.15,-70.9167,32.11,80,0,19.01,clear sky
13,wajima,JP,37.4,136.9,63.28,94,40,11.16,scattered clouds
14,hovd,MN,48.0056,91.6419,74.61,18,99,25.39,overcast clouds
15,qaanaaq,GL,77.484,-69.3632,39.42,77,100,6.85,overcast clouds
16,dong hoi,VN,17.4833,106.6,85.82,79,97,7.92,overcast clouds
17,east london,ZA,-33.0153,27.9116,76.14,31,0,13.8,clear sky
18,busselton,AU,-33.65,115.3333,67.05,86,88,14.41,light rain
19,hami,CN,42.8,93.45,91.27,13,91,22.48,overcast clouds
20,hilo,US,19.7297,-155.09,70.25,78,40,6.91,scattered clouds
21,harper,LR,4.375,-7.7169,84.07,73,43,8.37,scattered clouds
22,barrow,US,71.2906,-156.7887,30.22,80,90,8.05,overcast clouds
23,mwingi,KE,-0.9344,38.0601,79.12,49,53,8.99,broken clouds
24,maykor,RU,59.0059,55.88,59.09,79,95,5.64,overcast clouds
25,takoradi,GH,4.8845,-1.7554,85.71,67,64,4.5,broken clouds
26,pevek,RU,69.7008,170.3133,35.44,76,100,3.0,overcast clouds
27,bentiu,SS,9.2333,29.8333,99.48,30,12,4.03,few clouds
28,kampene,CD,-3.6,26.6667,77.72,74,100,0.67,overcast clouds
29,cedral,MX,23.8,-100.7333,65.41,80,73,8.9,broken clouds
30,lagoa,PT,39.05,-27.9833,59.16,64,95,8.12,overcast clouds
31,san cristobal,VE,7.7669,-72.225,63.82,96,78,1.9,broken clouds
32,mataura,NZ,-46.1927,168.8643,49.48,98,100,0.56,light rain
33,kahului,US,20.8947,-156.47,76.84,80,1,9.22,clear sky
34,kruisfontein,ZA,-34.0033,24.7314,69.89,47,2,21.12,clear sky
35,sarishabari,BD,24.7333,89.8333,90.45,64,26,6.8,scattered clouds
36,bluff,NZ,-46.6,168.3333,49.8,77,100,10.16,overcast clouds
