City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Saint-Philippe,RE,2021-05-26 15:13:55,-21.3585,55.7679,76.55,83,54,3.74
1,Hilo,US,2021-05-26 15:12:54,19.7297,-155.09,71.62,82,90,6.91
2,Albany,US,2021-05-26 15:11:59,42.6001,-73.9662,85.32,62,55,9.89
3,Mount Isa,AU,2021-05-26 15:13:56,-20.7333,139.5,65.97,20,0,16.11
4,Tessalit,ML,2021-05-26 15:13:56,20.1986,1.0114,107.67,5,98,16.55
5,Ponta Do Sol,PT,2021-05-26 15:13:56,32.6667,-17.1,75.0,68,86,0.51
6,Hami,CN,2021-05-26 15:13:57,42.8,93.45,82.78,12,0,3.51
7,Wencheng,CN,2021-05-26 15:13:57,33.0559,113.7978,70.68,72,100,8.16
8,Santo Domingo,DO,2021-05-26 15:08:58,18.5001,-69.9886,87.48,64,40,0.0
9,Khatanga,RU,2021-05-26 15:13:58,71.9667,102.5,30.49,98,100,11.16
10,Rikitea,PF,2021-05-26 15:13:58,-23.1203,-134.9692,77.43,84,33,24.52
11,Srednekolymsk,RU,2021-05-26 15:13:58,67.45,153.6833,46.8,68,100,15.39
12,Kutum,SD,2021-05-26 15:13:59,14.2,24.6667,79.25,38,95,17.87
13,Almansa,ES,2021-05-26 15:13:59,38.8692,-1.0971,75.29,43,31,5.48
14,Mataura,NZ,2021-05-26 15:13:59,-46.1927,168.8643,33.87,89,15,3.22
15,Bud,US,2021-05-26 15:14:00,39.447,-86.1758,69.89,96,100,7.09
16,Georgetown,MY,2021-05-26 15:13:58,5.4112,100.3354,85.89,79,20,9.55
17,Nikolskoye,RU,2021-05-26 15:14:00,59.7035,30.7861,51.69,95,100,11.77
18,Norman Wells,CA,2021-05-26 15:14:00,65.282,-126.8329,47.71,46,97,1.95
19,Pangai,TO,2021-05-26 15:14:01,-19.8,-174.35,75.11,69,100,15.12
20,Avarua,CK,2021-05-26 15:14:01,-21.2078,-159.775,78.85,89,40,8.05
21,Ushuaia,AR,2021-05-26 15:13:26,-54.8,-68.3,29.86,93,75,23.02
22,Roma,US,2021-05-26 15:12:03,43.2128,-75.4557,84.38,48,20,11.5
23,Tasiilaq,GL,2021-05-26 15:14:02,65.6145,-37.6368,37.56,97,100,40.0
24,Camacha,PT,2021-05-26 15:14:02,33.0833,-16.3333,71.53,60,75,16.11
25,Punta Arenas,CL,2021-05-26 15:14:03,-53.15,-70.9167,37.51,75,20,15.35
26,Kruisfontein,ZA,2021-05-26 15:14:03,-34.0033,24.7314,62.89,66,100,5.48
27,Busselton,AU,2021-05-26 15:14:04,-33.65,115.3333,53.04,65,100,10.98
28,Kaitangata,NZ,2021-05-26 15:14:04,-46.2817,169.8464,32.94,80,15,4.09
29,Bethel,US,2021-05-26 15:14:04,41.3712,-73.414,84.34,69,1,1.01
30,Suntar,RU,2021-05-26 15:14:05,62.1444,117.6319,51.82,55,98,3.53
31,Yerbogachen,RU,2021-05-26 15:14:05,61.2767,108.0108,38.03,54,7,5.44
32,Najran,SA,2021-05-26 15:14:05,17.4924,44.1277,92.32,10,18,16.93
33,Butaritari,KI,2021-05-26 15:14:06,3.0707,172.7902,83.34,78,100,19.86
34,Avera,US,2021-05-26 15:14:06,33.194,-82.5271,87.71,50,61,4.83
35,Dikson,RU,2021-05-26 15:14:06,73.5069,80.5464,28.54,85,100,13.09
36,Kuhdasht,IR,2021-05-26 15:14:07,33.535,47.6061,81.45,19,0,9.33
37,Caravelas,BR,2021-05-26 15:14:07,-17.7125,-39.2481,76.86,86,87,4.81
38,Kapaa,US,2021-05-26 15:11:52,22.0752,-159.319,71.58,94,1,5.19
39,Padang,ID,2021-05-26 15:14:08,-0.9492,100.3543,80.46,88,92,3.56
40,Korla,CN,2021-05-26 15:14:08,41.7597,86.1469,82.94,13,97,8.39
41,Chernyshevskiy,RU,2021-05-26 15:14:08,63.0128,112.4714,45.0,73,100,5.79
42,Chuy,UY,2021-05-26 15:14:09,-33.6971,-53.4616,57.56,54,51,8.41
43,Upernavik,GL,2021-05-26 15:11:11,72.7868,-56.1549,32.56,84,40,8.81
44,Sambava,MG,2021-05-26 15:14:09,-14.2667,50.1667,75.7,80,3,11.81
45,Castro,BR,2021-05-26 15:14:10,-24.7911,-50.0119,62.83,48,95,2.37
46,Cherskiy,RU,2021-05-26 15:14:10,68.75,161.3,49.89,49,35,4.43
47,Sibolga,ID,2021-05-26 15:14:10,1.7427,98.7792,78.91,90,100,3.53
48,Thompson,CA,2021-05-26 15:14:11,55.7435,-97.8558,34.0,42,79,8.16
49,Bambanglipuro,ID,2021-05-26 15:14:11,-7.95,110.2833,78.69,83,59,6.51
